Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume
17:00:00,8661.41000,8663.16000,8659.65000,8661.40750,8.783687730
17:01:00,8661.40875,8663.16000,8656.33000,8659.74500,4.290732720
17:02:00,8660.57687,8660.57687,8656.33000,8656.33500,6.541560540
17:03:00,8658.45594,8658.45594,8654.63000,8655.48500,15.788069700
17:04:00,8656.97047,8656.97047,8647.94000,8652.04500,4.730408550
17:05:00,8654.50773,8654.50773,8649.01000,8649.01750,10.210580730
17:06:00,8651.76262,8655.68000,8649.01000,8652.34500,19.503573900
17:07:00,8652.05381,8662.61000,8652.05381,8660.62750,4.950888810
17:08:00,8656.34065,8661.31000,8656.34065,8659.40500,10.955418450
17:09:00,8657.87283,8657.87283,8657.24000,8657.40750,10.481560860
17:10:00,8657.64016,8657.66000,8654.51000,8656.20000,9.306145410
17:11:00,8656.92008,8656.92008,8652.94000,8654.06000,4.209659340
17:12:00,8655.49004,8655.49004,8652.94000,8652.94250,1.883675670
17:13:00,8654.21627,8654.21627,8651.01000,8651.98000,6.189282450
17:14:00,8653.09814,8653.09814,8650.00000,8650.51250,6.119976390
17:15:00,8651.80532,8651.80532,8650.00000,8650.00500,7.439617590
17:16:00,8650.90516,8651.02000,8650.00000,8650.51250,1.623830070
17:17:00,8650.70883,8657.39000,8650.70883,8654.20500,15.349346550
17:18:00,8652.45691,8657.39000,8651.15000,8654.38750,18.923112030
17:19:00,8653.42221,8653.42221,8651.00000,8651.46250,27.241564110
17:20:00,8652.44235,8654.76000,8651.00000,8652.85500,25.946051850
17:21:00,8652.64868,8653.88000,8652.64868,8653.64000,29.049236940
17:22:00,8653.14434,8658.07000,8653.14434,8655.05000,6.965324730
17:23:00,8654.09717,8654.39000,8652.32000,8653.62750,4.556848200
17:24:00,8653.86233,8653.86233,8652.52000,8653.16750,10.291929900
17:25:00,8653.51492,8653.51492,8650.92000,8652.58250,13.008127380
17:26:00,8653.04871,8653.26000,8648.92000,8651.38750,3.602644560
17:27:00,8652.21810,8652.21810,8644.04000,8647.44500,1.973817840
17:28:00,8649.83155,8649.83155,8631.59000,8639.42750,25.737924480
17:29:00,8644.62953,8644.62953,8635.07000,8635.50250,2.068853910
17:30:00,8640.06601,8642.35000,8635.08000,8638.37500,23.184279570
17:31:00,8639.22051,8641.71000,8636.05000,8639.63750,18.013823340
17:32:00,8639.42900,8640.59000,8634.14000,8637.92000,24.236305560
17:33:00,8638.67450,8642.34000,8636.16000,8638.91250,19.224154590
17:34:00,8638.79350,8641.59000,8638.79350,8639.85500,3.219126090
17:35:00,8639.32425,8640.00000,8634.88000,8638.04500,17.176779900
17:36:00,8638.68463,8640.01000,8633.66000,8636.60750,25.820470950
17:37:00,8637.64606,8637.64606,8635.45000,8635.45500,1.263393330
17:38:00,8636.55053,8636.55053,8635.44000,8635.44500,8.045558340
17:39:00,8635.99777,8638.44000,8635.44000,8636.94000,7.664713590
17:40:00,8636.46888,8638.48000,8636.46888,8638.45750,4.683783330
17:41:00,8637.46319,8644.39000,8637.46319,8641.43500,53.311630650
17:42:00,8639.44910,8644.39000,8639.44910,8644.38250,1.375622340
17:43:00,8641.91580,8647.23000,8641.91580,8645.56250,13.972326210
17:44:00,8643.73915,8647.23000,8643.73915,8646.40000,11.385330030
17:45:00,8645.06957,8647.47000,8645.06957,8646.90000,4.996175040
17:46:00,8645.98479,8650.00000,8636.38000,8642.55750,26.931753540
17:47:00,8644.27114,8644.27114,8633.00000,8634.69000,5.278602780
17:48:00,8639.48057,8641.17000,8633.00000,8637.43500,27.539150670
17:49:00,8638.45779,8640.70000,8638.00000,8639.07250,3.435744330
17:50:00,8638.76514,8641.96000,8635.88000,8638.42250,25.204441320
17:51:00,8638.59382,8638.59382,8633.33000,8634.61000,2.564116650
17:52:00,8636.60191,8636.60191,8633.33000,8633.33500,4.521484560
17:53:00,8634.96846,8634.96846,8633.01000,8633.43500,10.145166180
17:54:00,8634.20173,8634.20173,8631.94000,8632.64750,8.677453020
17:55:00,8633.42461,8633.42461,8630.65000,8631.45000,4.622268780
17:56:00,8632.43731,8633.03000,8630.65000,8631.92750,30.200173350
17:57:00,8632.18240,8634.47000,8628.38000,8631.06500,19.583226660
17:58:00,8631.62370,8631.62370,8627.43000,8627.91000,9.574693290
17:59:00,8629.76685,8629.76685,8627.43000,8627.71250,3.807646410
18:00:00,8628.73968,8628.73968,8627.50000,8627.74750,3.212036130
18:01:00,8628.24359,8628.24359,8626.90000,8627.63000,12.506697960
18:02:00,8627.93679,8627.99000,8625.15000,8626.57500,12.753110520
18:03:00,8627.25590,8628.00000,8625.17000,8626.58000,12.541675350
18:04:00,8626.91795,8639.94000,8624.16000,8633.01000,30.523447320
18:05:00,8629.96397,8649.44000,8629.96397,8643.98250,20.745395490
18:06:00,8636.97324,8647.97000,8636.97324,8644.92750,8.184187680
18:07:00,8640.95037,8648.44000,8640.95037,8646.86000,5.340888300
18:08:00,8643.90518,8647.94000,8638.54000,8643.36250,27.221671440
18:09:00,8643.63384,8643.63384,8638.55000,8640.27750,7.095758940
18:10:00,8641.95567,8642.33000,8638.96000,8641.14750,3.971069850
18:11:00,8641.55159,8645.90000,8637.31000,8642.20500,10.032202650
18:12:00,8641.87829,8650.00000,8641.87829,8647.94500,7.645845720
18:13:00,8644.91165,8655.89000,8644.91165,8652.62750,15.271751550
18:14:00,8648.76957,8654.50000,8648.76957,8653.37500,4.667750190
18:15:00,8651.07229,8655.89000,8651.07229,8654.55000,15.565302120
18:16:00,8652.81114,8659.76000,8652.81114,8656.48750,9.322868040
18:17:00,8654.64932,8657.45000,8647.13000,8652.63500,9.315098850
18:18:00,8653.64216,8653.64216,8646.36000,8649.34000,2.518846710
18:19:00,8651.49108,8651.73000,8646.37000,8648.83000,1.922872020
18:20:00,8650.16054,8650.83000,8646.47000,8648.73250,2.830514550
18:21:00,8649.44652,8657.08000,8649.44652,8653.53500,11.529009150
18:22:00,8651.49076,8655.39000,8651.28000,8652.83750,7.292143200
18:23:00,8652.16413,8652.16413,8651.30000,8651.30500,1.335165780
18:24:00,8651.73457,8659.14000,8651.30000,8654.25250,6.552018420
18:25:00,8652.99353,8675.16000,8652.99353,8662.59000,199.514644350
18:26:00,8657.79177,8664.82000,8657.79177,8662.28500,8.875000380
18:27:00,8660.03838,8660.08000,8660.03838,8660.07750,4.634331630
18:28:00,8660.05794,8660.07000,8657.72000,8658.83250,2.658698070
18:29:00,8659.44522,8659.44522,8653.01000,8655.38750,4.757854680
18:30:00,8657.41636,8657.41636,8650.80000,8651.90250,8.242904970
18:31:00,8654.65943,8657.81000,8650.80000,8653.39250,6.793811610
18:32:00,8654.02597,8657.86000,8654.02597,8655.48000,7.513071660
18:33:00,8654.75298,8654.75298,8651.70000,8653.78500,4.353819300
18:34:00,8654.26899,8654.26899,8653.19000,8653.65000,3.439865460
18:35:00,8653.95950,8654.11000,8647.03000,8650.97500,13.981779780
18:36:00,8652.46725,8654.11000,8649.35000,8651.72750,13.606714230
18:37:00,8652.09737,8654.11000,8652.09737,8654.10750,3.864067860
18:38:00,8653.10244,8655.00000,8653.10244,8654.54750,14.100934110
18:39:00,8653.82497,8655.50000,8653.82497,8655.02500,4.295790600
18:40:00,8654.42498,8655.50000,8654.42498,8655.49750,1.203648690
18:41:00,8654.96124,8655.89000,8654.96124,8655.69500,2.071368540
18:42:00,8655.32812,8658.57000,8654.58000,8655.90750,7.284368250
18:43:00,8655.61781,8655.61781,8654.58000,8654.58500,3.301481610
18:44:00,8655.10141,8655.10141,8652.44000,8653.54000,2.620071690
18:45:00,8654.32070,8654.32070,8652.08000,8652.31250,3.116238600
18:46:00,8653.31660,8659.19000,8652.08000,8654.34750,19.934172450
18:47:00,8653.83205,8656.72000,8653.83205,8655.73250,3.035288070
18:48:00,8654.78228,8656.72000,8652.69000,8655.19000,3.521447100
18:49:00,8654.98614,8659.60000,8654.98614,8657.85750,12.881027910
18:50:00,8656.42182,8658.45000,8656.42182,8658.08250,2.439476430
18:51:00,8657.25216,8659.76000,8657.23000,8658.79000,3.772369950
18:52:00,8658.02108,8662.97000,8658.02108,8660.79250,6.489449730
18:53:00,8659.40679,8662.57000,8659.40679,8662.33250,20.869966350
18:54:00,8660.86964,8662.10000,8660.86964,8662.10000,0.033431700
